Question,Answer
ما أبعد المواقيت عن مكة، وما أقربها؟, أبعد المواقيت عن مكة (ذو الحليفة)، وأقربها لها (قرن المنازل.) 
ما الحكمة من تشريع أكثر من ميقات حول مكة؟, هذا من باب رفع الحرج والتيسير لدخول مكة من أي جهة تكون في محاذاة الميقات، وقريب من طريق أهل الامصار حول مكة. 
هل هناك من تميز مليقات المدينة عن غيره من المواقيت؟, ليس فيه أي تميز، قال ابن تيمية: «وما يرويه العامة أن عليا ] قاتل اجلن هناك فهو كذب موضوع، ولم يقاتل الصحابة أحدا من اجلن.»  
لماذا ُيطلق على ميقات المدينة ( أبيار علي) ؟, سبب ذلك يرجع إلى أن ملك دارفور ( علي بن دينار ) رحمه الله اهتم بهذا الميقات بعد أن كان مهما، والله أعلم.  
ماذا ُيوصى ويقال للمسافر؟, علمنا النبي أن نقول للمسافر: (أستودع الل َه دينك، وأمانتك، وخواتيم أعمالك) ويرد: (أستودعكم الله الذي لا تضيع ودائعه)، ونوصيه بتقوى الله الاخلاص في عمله. 
كيف يتحقق الإهلال بالنسك؟, يتحقق برفع الصوت بالعمرة أو الحج. 
ما معنى الإهلال بالعمرة أو الحج؟, معناه الشروع بالعبادة، واجتناب المحظورات فيها. اولا: الميقات من اجلو 
متى ُيشرع للمسافر قول دعاء السفر؟, يشرع له عند خروجه من بيته، أو في الطائرة قبل الإقلاع. 
هل يمكن ارتداء ملابس الإحرام من البيت، قبل صعود الطائرة؟, نعم هذا ممكن وهو من التيسير والاستعداد في الفعل. 
إن كانت الطائرة ستقلع قبل العصر، فهل يجوز جمع صالتي العصر مع الظهر قبل السفر؟, يجوز جمعهما في وقت الأولى للحاجة، لكن من غير قصر   للرباعية، لان المسلم لا يزال في بلده. 
ما الواجب على المسافر تذكره وهو في المطار؟, عليه بالصبر إن حصل له أي تأخير، ولا يرفع صوته بصراخ وسفاهة من القول، وإن كان في مطار جدة  ُم ْح ِرم متلبس بالعبادة، فعليه الإكثار من  للوصول فهو  التهليل والاستغفار والدعاء. 
المسافر بالطائرة وعلم أنه بعد نصف ساعة سيمر فوق الميقات فلبى احتياطا خشية فوت الميقات، هل عليه شيء؟, لا بأس بذلك احتياط وحذرا من سرعة الطائرة، ألنه يشترط في الميقات المحاذاة له. 
نتيجة لسرعة الطائرة تأخر معتمر قليلا في الإهلال بالتلبية بالعمرة، فما الحكم في فعله؟, لا بأس في ذلك، والعبرة في محاذاة الميقات والنية، والأولى أخذ الحيطة بتقدمي الإهلال قبل وقت المحاذاة قليا. 
نتيجة لضعف صوت المضيف في الطائرة لم يتبني للبعض موعد الإحرام ، ولم يحرموا إلا بعد تجاوز الميقات. ما حكم ما وقع؟, من لم يسمع المضيف فلم ُيحرم إلا بعد تجاوز الميقات بوقت بعيد فعليه الفدية لتركه واجبا، ولتفريطه في السؤال. 
ماذا على من تجاوز الميقات وفي نيته العمرة، وتأخر في لبس الإحرام؟, عليه الفدية، ألنه ترك واجبا تعمدا من غير عذر.   
ما حكم من لبس الإحرام من بيته وفي نيته العمرة، لكنه لم ُي ِهل إلا بعد تجاوز الميقات ؟, عليه فدية عدم الإهلال بالعمرة من الميقات، فإن متكن من الرجوع فلا فدية عليه، والناسي لا شيء عليه من الإثم 
  هل ُجدة تعد من المواقيت التي للمعتمر أن ُيحرم فيها؟, جدة ميقات أهلها فقط، أما الإفاقي (أي الذي يأتي من خارجها) فعليه الإحرام من الميقات الذي يكون قريبا منه في طريقه. 
من ظن أن الميقات في الطائرة يكون بعد النزول في جدة، وفي نيته أداء العمرة ؟, ينبغي عليه اولا أن يسأل، ومثل هذا الجاهل لا شيء عليه. 
من ذهب إلى جدة لعمل تجاري، أو لزيارة الأهل، ثم نوى العمرة بعد ذلك، من أين يحرم؟, إن لم يكن في نيته العمرة ابتداء فإنه يحرم من المكان الذي أنشأ فيه العمرة، ولا شأن له بالميقات، لان الميقات إمنا يكون لمن كان في نيته مسبقا أداء العمرة ومّر بمحاذاتها، ولهذا من كان في نيته العمرة فلم يحرم من الميقات فعليه الفدية. 
عند ُقرب موعد الإحرام، تذكر المعتمر أنه وضع إحرامه في الحقيبة. ماذا يفعل؟, بإمكانه أن يحرم بإزار ويضع الثوب على عاتقيه مع كشف رأسه، وإن لم يتيسر له إزار ُيحِرم بالسراويل، ثم يلبس الإحرام متى ما وجده. 
من َنسي إحرامه في الشنطة فنزل جدة بالملابس الاعتيادية    يحرم  لخجله أن ينزل بالسراويل فقط. ما حكم عمله؟, عليه أن يستعير إحراما من غيره منذ البداية، أو  بالسراويل مع كشف رأسه، فإن ترك هذه الامور ولبس المخيط بعد الميقات فعليه فدية في هذا الفعل لارتكابه محظورا. 
من نام من تعبه في السفر فلم يلبس الإحرام، حتى نزلت الطائرة في مطار جدة. ماذا يفعل؟, عليه فقط أن يلبس إحرامه متى استيقظ، ألنه لم يتعمد ذلك. 
من تأخر عن أداء صالة المغرب بسبب السفر، ماذا يفعل؟, له أن يؤديها جمع تأخير مع صلاة العشاء في الحرم عند الوصول إلى مكة، ما لم يتجاوز الوقت نصف الليل. ثانيا: الميقات من البر 
من الذي يختاره المسلم رفيقا لسفره؟, ينبغي عليه ابتداء الذهاب مع شخصن أو أكثر، ويؤمروا عليهم أحدهم ليتفق رأيهم، ويحددوا أمرهم، أو يكون معهم كبير في السن، وأن يكون الإصحاب أهل عقل وحلم ورفق وكرم، وفيهم سامة القلب، وحسن الصداقة، وعندهم علم بكتاب الله وسنة نبيه [ قدر الوسع، ومؤثرين لإخوانهم بطعام وشراب وغيره. 
متى ُيشرع للمسافر بالسيارة قول دعاء السفر؟, ُيشرع له ذلك إذا ركب في السيارة لابتداء السفر. 
هل يجوز الكذب على الشرطة في الطريق لبلوغ مكة؟,   على المسلم أن يتقي الله، ويبتدئ أمره بالصدق ليبارك الله عمله ويتقبله قبولا حسنا، فلا يكذب بحجة التجاوز للعمرة أو الحج. 
ما حكم التحايل على الشرطة بتصاريح مرور للسفر وليست للحج؟, هذا فعل قبيح، فلا يتصور في المسلم المتقي لربه والقادم إليه ويريد المغفرة منه سبحانه أن يسبق بمعصية عمدا في عبادته. 
ماذا يجب على من أراد العمرة أو الحج وحاذى الميقات؟, يجب عليه الإ يتجاوزه إلا بالإحرام. 
هل بالإمكان الإحرام قبل الميقات زيادة في الاجر والخير؟, من تيسر له المرور على الميقات فالواجب عليه التقيد بسنة النبي في شأن مواقيت الإحرام، فلا يحرم إلا عند الميقات. 
